Product Name,Price
"Catsobat Multi-functional Pen, For Security and Self Defense, Tactical Pen, Includes Spare Pen","¥1,498"
"Security Buzzer, 130 dB, 6 Colors Available, Loud Volume, LED Light, Waterproof, For Elementary School, Boys, Girls, Kids, Women, Stylish, Self-Defense Goods, AAA Batteries & Screws Included, Japanese Dialogue Introduction Video Included, 5x Points, Black",¥999
"Echana Self-Defense Buttons, Set of 3, Security Goods, For Self-Defense, Crime Prevention, Disaster Prevention, Keychain, Escape Self-Defense Stick, Self-Defense Goods, Girls, Bag Pendant (#2)",¥899
Formemory 防犯ブザー 防犯グッズ 防犯アラーム140dB LEDライト付き ネジ付き 2個、3個セット 護身用 緊急時 ピンを抜くだけ 大音量アラーム LEDランプデザイン ソニック 多種のカラー セット ピンク ブルー ホワイト ブラック 小学生 女性 子供 男の子 女の子 お年寄り 危険を知らせ 軽くて丈夫な防犯ブザー 人気 使いやすい ピンを抜くだけ おしゃれ (ブラック+シルバー 2個セット),"¥1,480"
"Danex Special Baton with LED, Self-Defense Weapon, Self-Defense Goods, Flashlight, Security Supplies (Black)","¥2,480"
"TISUR Titanium Keychain Tool, Multi-functional, Toothpick, Anti-theft Goods, Ice Pick, Titanium, Key Ring Included","¥3,999"
"BBIDSW Voyeur Detector, Voyeur Camera Detector, Infrared GPS Tracking Detector, Signal Detector, Evidence Detector, Magnetic Detection, Radio Detection, Self-Defense Goods, Durable, Security Goods","¥4,399"
"Echana Self-Defense Goods, Anti-Cholesker, Women, Self-Defense Stick, Key Stick, Security Goods, Keychain, Anti-Chortar Protection, Escape Weapon, Lightweight, Outdoor (#7, Silver)",¥359
Protect You Iron Guard 2023 Bottle Opener Multi Tool Emergency Escape Brass Material BIGUP (Plain),"¥3,280"
"FAST STRIKE Self-Defense Goods, Window Glass, Car Escape Prevention, Easy to Grip, Emergency Tool, Outdoor Activities, Travel, Stray Dogs, Emergency Window Breaking, Genuine Product, Black","¥4,800"
"Hion Security Alarm, Pack of 2, Black + White, Replacement Driver Included, Security Alarm, 130 dB Loud Volume, LED Light, Waterproof, For Elementary School, Boys, Girls, Kids, Women, Simple, Security Buzzer/Security Goods, Attaches to School Bags","¥1,799"
TK Steering Wheel Lock [Japanese Brand] Steering Lock Anti-theft Window Breaking Security Goods Car Security,"¥5,980"
"Security Tags, Erasable, 1.6 x 1.6 inches (4 x 4 cm), Pack of 500","¥1,780"
"Set of 2 Security Goods, Self-Defense Supplies, Includes Keychain, Durable, Lightweight, Outdoor, Escape Use, Self-Defense, Commuting to Work or School, Stretches at Night, Loss Prevention, Mini, Self-Defense Goods, Emergency Rescue, Hard Plastic Window, Unisex, Black White",¥999
"UNI [Set of 2] Self-defense Goods, Crime Prevention Goods, Key Chain Included, Molester Countermeasure, Emergency Escape, Self-Defense Supplies, Disaster, Chain, For Women, Children (Transparent & Blue)",¥771
"Echana Self-Defense Buttons, Set of 3, Security Goods, For Self-Defense, Crime Prevention, Disaster Prevention, Keychain, Escape Self-Defense Stick, Self-Defense Goods, Girls, Bag Pendant (#1)",¥899
"Voyeur Detector, Voyeur Detector, Voyeur Camera Detector, Infrared Voyeur Camera Detector, GPS Tracking Detector, Signal Detector, Bugging Detector Pen, Magnetic Detection, Radio Detection, Self-Defense Goods, Durable, Security Goods, Women, Self Defense Goods, For Women, Self Defense","¥5,999"
"Riao-Tech 2-Piece Set of 2 Protective Buttons, Female Guardian Rod, Tactical Pen, Key Holder, Crime Prevention, Dementist Countermeasure, Escape, Weapons, Protection Goods, Lightweight",¥599
"Security Buzzer, Security Alarm, Bell Alarm, Security Bell, Security Alarm, Dual Speakers, Night Roads, Self-Defense, Flashing, LED Flashing, 130 dB, Loud Volume, Waterproof, Button Battery Operated, Attaches to Bag School Bag, Cheating Prevention, Set of 2 (Black + White)","¥2,199"
"Self-defense Weapons for Self-defense Security Goods, Stinger, Conspiration Countermeasure, Interpersonal Weapons, Pack of 2",¥520
"Security Buzzer, Pack of 2, 130 dB Security Bell, Loud Volume, LED Light, Waterproof, For Elementary School, Boys, Girls, Kids, Women, Stylish, Self-Defense Goods, AAA Batteries & Screws Included (Black + White), Japanese Dialogue Introduction Video Included, 5x Points","¥1,699"
"Catsobat Multi-functional Pen, For Security and Self Defense, Tactical Pen, Includes Spare Pen","¥1,498"
２個セット 護身用グッズ 軽量 ポータブル 痴漢防止武器 護身棒 ペン型防犯 アウトドア防衛ペンタクティカルペン ペン型 緊急救助 窓破り ガラスを破るエスケープツール 護身グッズ,¥999
"Personal Alarm, Set of 2, Pink + White, LED Light, USB Rechargeable, Loud 130 dB Waterproof, Elementary School, Girls, Boys, Women, Adults, Children","¥1,899"
"Danex Self-Defense Whip Security Supplies, Self-Defense, Emergency Tool, Emergency Window Breaking, Self-Defense Goods","¥4,480"
"Formemory Security Buzzer, Security Buzzer, 140 dB, LED Light, Screws, Set of 2, 3, For Self Defense, Emergency, Remove Pin, Loud Alarm, LED Lamp Design, Sonic, Various Color Set, Pink, Blue, White, Black, Elementary School Students, Women, Kids, Boys, Girls, Elderly, Hazards, Light and Durable, Popular, Easy to Use, Remove the Pin Fashionable (Black + Pink + Blue 3-Piece Set)","¥1,680"
"TIMULTI Disaster Prevention Titanium Emergency Whistle, Hazard Prevention First Aid Whistle","¥1,799"
"Security Buzzer, Security Alarm, LED Light, USB Rechargeable, Loud 130 dB, Bell Alarm, Suitable for Kids, Adults, Elderly, Boys, Girls, Japanese Instruction Manual and Neck Strap Included (White)","¥1,398"
"Security Buzzer, Pack of 2, Black + White, Security Alarm, 130 dB Loud Volume, LED Light, Waterproof, Security Bell, Elementary School, Boys, Girls, Kids, Women, Simple, Security Buzzer/Security Goods, Attaches to School Bag","¥1,799"
"Kigauru Self-Defense Tactical Pen, Multi-functional Tactical Pen, Aluminum Alloy + Tungsten Steel Surface Hard Anodized Glass Breaker Pen Broken Window Cone Outdoor Security Survival Tool",¥800
"Mala Stainless Steel Self-Defense Goods, Mala, Necklace, Self-Defense, Ceremonial Festival, Mala, Men's, Bracelet, Self-Defense Tool, For Self-Defense (Silver)","¥4,180"
"Azselect Telescopic Pole Hand Flagpole 61.0 inches (155 cm), Long Type, Easy to Grip, Anti-Slip, Grip for Hand Flags",¥474
"Zerogauge Security Buzzer, [Security Advisor Recommended] Elementary School Students, Boys, Girls, Kids, Adults (with Whistle during Panic), Security Goods, 130 dB Loud, LED Light, IP66 Waterproof, USB Rechargeable, Fixed School Bag, White","¥1,500"
"Echana Self-Defense Goods, Set of 2, Emergency Whistle, Whistle, Security Goods, Disaster Prevention, Car, Glass, Disaster Prevention, Car, Typhoon, Earthquake, Molester Prevention, Women, Self-Defense Rod, Key Holder, Black",¥599
"Merikensack Self Defense, Real Motorcycle Gloves, Self-defense Weapons, Gloves, Self-defense Goods, Weapons, Boxing Gloves, Security Goods, Self-defense Goods, Self Defense, Boys Merikensack, Knuckles, Women","¥2,655"
"TISUR Titanium Toothpick, Multi-functional, Lightweight, EDC Outdoor Equipment, Telescopic, Portable, Convenient, Multi-Tool, Self-Defense Goods, Telescopic, Blue","¥1,899"
WOWTAC Portable Toothpicks - Titanium Toothpicks Multifunctional Lightweight EDC Outdoor Equipment Portable Convenient Durable (Telescopic - Silver),"¥1,380"
"DeliToo Folding Umbrella, 12 Ribs, One-Touch, Automatic Open/Close, Men's Umbrella, Large, Windproof, Water Repellent, For Both Sunny and Rainy Weather, Men's Parasol, UV Protection, UV Shielding, Folding Umbrella, Men's, Women's, Rainy Season, For Typhoons, Storage Pouch Included","¥1,983"
[Asgens] ボティバッグ メッセンジャーバッグ ショルダーバッグ スポーツバッグ 斜めかけ メンズ 人気 大容量 防水バッグ 通勤 通学 収納簡単 旅行 アウトドア,"¥2,980"
