統計名：,検察統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,/時間軸(年次),2021年,2021年,2021年,2020年,2020年,2020年,2019年,2019年,2019年,2018年,2018年,2018年,2017年,2017年,2017年,2016年,2016年,2016年,2015年,2015年,2015年,2014年,2014年,2014年,2013年,2013年,2013年,2012年,2012年,2012年,2011年,2011年,2011年,2010年,2010年,2010年,2009年,2009年,2009年,2008年,2008年,2008年,2007年,2007年,2007年,2006年,2006年,2006年,2005年,2005年,2005年,2002年,2002年,2002年,2001年,2001年,2001年,2000年,2000年,2000年,1999年,1999年,1999年,1998年,1998年,1998年,1997年,1997年,1997年,1996年,1996年,1996年,1995年,1995年,1995年,1994年,1994年,1994年,1993年,1993年,1993年
,,,,/既済事由 コード,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290,110,140,290
表章項目 コード,表章項目,罪名_年次 コード,罪名_年次,/既済事由,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】,起訴【人】,不起訴【人】,起訴率【%】
120,人員,100,総数,,"244,425","492,096",33.2,"253,444","511,021",33.2,"282,844","576,677",32.9,"308,721","632,323",32.8,"329,517","671,694",32.9,"352,669","701,719",33.4,"371,459","739,937",33.4,"377,539","772,221",32.8,"405,415","829,093",32.8,"443,965","861,137",34.0,"474,125","880,287",35.0,"518,253","913,356",36.2,"559,594","934,223",37.5,"587,957","966,549",37.8,"684,483","1,043,862",39.6,"798,130","1,084,038",42.4,"862,468","1,061,501",44.8,"994,749","947,102",51.2,"1,022,651","932,829",52.3,"1,035,182","884,700",53.9,"1,139,334","781,584",59.3,"1,128,503","695,630",61.9,"1,154,590","650,265",64.0,"1,122,399","677,479",62.4,"1,084,122","673,477",61.7,"1,173,806","658,163",64.1,"1,242,529","640,631",66.0
120,人員,110,刑法犯,,"100,890","350,493",22.4,"104,274","362,456",22.3,"112,861","426,313",20.9,"115,778","476,745",19.5,"119,269","513,885",18.8,"124,381","539,174",18.7,"131,276","577,655",18.5,"132,834","612,036",17.8,"135,421","664,682",16.9,"142,594","689,076",17.1,"146,036","711,410",17.0,"155,709","739,100",17.4,"164,172","749,807",18.0,"168,581","764,991",18.1,"180,113","834,187",17.8,"196,128","886,489",18.1,"201,472","891,636",18.4,"202,853","818,167",19.9,"192,501","816,299",19.1,"180,077","781,382",18.7,"162,068","688,447",19.1,"155,330","611,532",20.3,"156,429","570,612",21.5,"157,602","597,454",20.9,"161,049","590,306",21.4,"164,279","575,284",22.3,"166,237","561,874",22.8
120,人員,150,刑法犯_公務執行妨害,,836,893,48.4,879,804,52.2,"1,058",919,53.5,929,"1,032",47.4,967,936,50.8,"1,111",879,55.8,"1,211","1,000",54.8,"1,285",994,56.4,"1,358","1,025",57.0,"1,401",977,58.9,"1,395",977,58.8,"1,472",865,63.0,"1,511",952,61.3,"1,855",927,66.7,"1,992","1,098",64.5,"1,804","1,176",60.5,"1,116","1,408",44.2,980,988,49.8,702,844,45.4,633,774,45.0,519,586,47.0,464,614,43.0,507,683,42.6,457,645,41.5,296,532,35.7,255,480,34.7,226,357,38.8
120,人員,190,刑法犯_放火,,233,465,33.4,229,445,34.0,223,463,32.5,273,493,35.6,260,479,35.2,297,499,37.3,369,471,43.9,319,379,45.7,340,367,48.1,290,367,44.1,349,439,44.3,414,407,50.4,430,383,52.9,463,410,53.0,521,445,53.9,574,391,59.5,628,393,61.5,591,315,65.2,628,308,67.1,586,319,64.8,563,260,68.4,436,282,60.7,523,272,65.8,447,279,61.6,416,271,60.6,434,263,62.3,447,306,59.4
120,人員,260,刑法犯_住居侵入,,"2,074","2,944",41.3,"2,184","3,214",40.5,"2,189","3,277",40.0,"2,147","3,147",40.6,"2,293","3,316",40.9,"2,576","3,598",41.7,"2,328","3,636",39.0,"2,448","3,646",40.2,"2,522","3,567",41.4,"2,583","3,569",42.0,"2,547","3,378",43.0,"2,632","3,144",45.6,"2,537","3,144",44.7,"2,682","3,238",45.3,"2,852","3,295",46.4,"3,386","3,515",49.1,"3,459","3,490",49.8,"3,190","2,446",56.6,"2,839","2,019",58.4,"2,824","1,912",59.6,"2,341","1,570",59.9,"2,130","1,443",59.6,"1,943","1,566",55.4,"1,805","1,615",52.8,"1,753","1,684",51.9,"1,790","1,512",54.2,"1,625","1,589",50.6
120,人員,370,刑法犯_支払用カード電磁的記録関係,,26,5,83.9,46,40,53.5,184,46,80.0,369,92,80.0,675,154,81.4,357,72,83.2,54,30,64.3,65,16,80.2,51,23,68.9,72,34,67.9,108,62,63.5,127,86,59.6,261,85,75.4,260,71,78.5,162,54,75.0,185,65,74.0,283,74,79.3,195,81,70.7,54,12,81.8,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
120,人員,420,刑法犯_わいせつ・わいせつ文書頒布等,,"1,291",935,58.0,"1,255",823,60.4,"1,423",738,65.8,"1,348",921,59.4,"1,333",830,61.6,"1,551",948,62.1,"1,624",914,64.0,"1,764",848,67.5,"1,894",918,67.4,"2,288",840,73.1,"2,176",771,73.8,"2,193",676,76.4,"2,181",620,77.9,"2,270",535,80.9,"2,255",565,80.0,"2,435",493,83.2,"2,204",447,83.1,"1,550",267,85.3,"1,571",273,85.2,"1,519",274,84.7,"1,568",269,85.4,"1,603",333,82.8,"1,390",339,80.4,"1,447",360,80.1,"1,261",379,76.9,"1,283",447,74.2,"1,164",339,77.4
120,人員,450,刑法犯_強制わいせつ,,"1,187","2,563",31.7,"1,226","2,395",33.9,"1,278","2,539",33.5,"1,288","2,458",34.4,"1,295","2,127",37.8,"1,308","1,955",40.1,"1,394","1,820",43.4,"1,459","1,730",45.8,"1,529","1,603",48.8,"1,469","1,505",49.4,"1,389","1,236",52.9,"1,435","1,067",57.4,"1,452","1,101",56.9,"1,443","1,197",54.7,"1,569","1,158",57.5,"1,661","1,120",59.7,"1,621","1,163",58.2,"1,402",945,59.7,"1,364",962,58.6,"1,289",843,60.5,980,749,56.7,917,716,56.2,807,694,53.8,661,639,50.8,587,649,47.5,565,613,48.0,558,600,48.2
