
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
,罪種,"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減ポイント,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),
刑法犯総数,,568104 ,614231 ,-46127 ,-7.5 ,264485 ,279185 ,-14700 ,-5.3 ,46.6 ,45.5 ,1.1 ,175041 ,182582 ,-7541 ,-4.1 ,14818 ,17466 ,-2648 ,-15.2 ,
凶悪犯,計,4149 ,4444 ,-295 ,-6.6 ,4007 ,4268 ,-261 ,-6.1 ,96.6 ,96.0 ,0.6 ,4093 ,4291 ,-198 ,-4.6 ,410 ,522 ,-112 ,-21.5 ,
凶悪犯,殺人,874 ,929 ,-55 ,-5.9 ,883 ,913 ,-30 ,-3.3 ,101.0 ,98.3 ,2.7 ,848 ,878 ,-30 ,-3.4 ,35 ,50 ,-15 ,-30.0 ,
凶悪犯,強盗,1138 ,1397 ,-259 ,-18.5 ,1130 ,1358 ,-228 ,-16.8 ,99.3 ,97.2 ,2.1 ,1460 ,1654 ,-194 ,-11.7 ,214 ,323 ,-109 ,-33.7 ,
凶悪犯,放火,749 ,786 ,-37 ,-4.7 ,664 ,700 ,-36 ,-5.1 ,88.7 ,89.1 ,-0.4 ,534 ,582 ,-48 ,-8.2 ,27 ,33 ,-6 ,-18.2 ,
凶悪犯,強制性交等,1388 ,1332 ,56 ,4.2 ,1330 ,1297 ,33 ,2.5 ,95.8 ,97.4 ,-1.6 ,1251 ,1177 ,74 ,6.3 ,134 ,116 ,18 ,15.5 ,
粗暴犯,計,49717 ,51829 ,-2112 ,-4.1 ,43291 ,45764 ,-2473 ,-5.4 ,87.1 ,88.3 ,-1.2 ,45724 ,48108 ,-2384 ,-5.0 ,2815 ,3060 ,-245 ,-8.0 ,
粗暴犯,凶器準備集合,6 ,5 ,1 ,20.0 ,4 ,4 ,0 ,0.0 ,66.7 ,80.0 ,-13.3 ,12 ,22 ,-10 ,-45.5 ,6 ,22 ,-16 ,-72.7 ,
粗暴犯,暴行,26436 ,27637 ,-1201 ,-4.3 ,23257 ,24315 ,-1058 ,-4.4 ,88.0 ,88.0 ,0.0 ,23993 ,24883 ,-890 ,-3.6 ,743 ,762 ,-19 ,-2.5 ,
