第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,罪種,"2022年
1～12月","2021年
1～12月",増減,増減率(％）,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減ポイント,"2022年
1～12月","2021年
1～12月",増減,増減率(％),"2022年
1～12月","2021年
1～12月",増減,増減率(％),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刑法犯総数,,601331,568104,33227,5.8,250350,264485,-14135,-5.3,41.6,46.6,-5,169409,175041,-5632,-3.2,14887,14818,69,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,計,4437,4149,288,6.9,3922,4007,-85,-2.1,88.4,96.6,-8.2,3978,4093,-115,-2.8,495,410,85,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,殺人,853,874,-21,-2.4,817,883,-66,-7.5,95.8,101,-5.2,785,848,-63,-7.4,49,35,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,強盗,1148,1138,10,0.9,1060,1130,-70,-6.2,92.3,99.3,-7,1322,1460,-138,-9.5,235,214,21,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,放火,781,749,32,4.3,644,664,-20,-3,82.5,88.7,-6.2,532,534,-2,-0.4,38,27,11,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凶悪犯,強制性交等,1655,1388,267,19.2,1401,1330,71,5.3,84.7,95.8,-11.1,1339,1251,88,7,173,134,39,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,計,52701,49717,2984,6,43499,43291,208,0.5,82.5,87.1,-4.6,45682,45724,-42,-0.1,2844,2815,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,凶器準備集合,11,6,5,83.3,12,4,8,200,109.1,66.7,42.4,34,12,22,183.3,22,6,16,266.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粗暴犯,暴行,27849,26436,1413,5.3,23313,23257,56,0.2,83.7,88,-4.3,23964,23993,-29,-0.1,796,743,53,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
